"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000164","대전생활과학고등학교","04","사립","N","","1","0","0","1","0","1","0","1","0","0","0","0","14","2","0","16","7","11","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","10","0","19","0","1","0","1","31","25","0","56","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000165","계룡디지텍고등학교","04","사립","N","","0","0","0","0","1","0","0","1","0","0","0","0","9","2","0","11","12","3","1","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","13","13","0","26","2","1","0","3","37","20","1","57","0","0","0","1"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000166","남대전고등학교","04","사립","N","","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","9","25","8","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","5","12","0","17","0","0","0","0","38","22","0","60","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000167","대덕고등학교","04","공립","N","","1","0","0","1","1","0","0","1","1","0","0","1","4","10","0","14","14","28","8","42","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","2","8","0","10","1","0","0","1","24","49","8","73","0","0","0","8"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000170","대덕소프트웨어마이스터고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","7","6","0","13","6","12","2","18","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","2","0","0","0","0","16","22","2","38","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000171","대전대성고등학교","04","사립","N","","0","1","0","1","0","1","0","1","0","0","0","0","6","5","0","11","14","6","1","20","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","15","0","29","0","1","0","1","35","29","1","64","0","0","0","1"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000173","대전대성여자고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","6","7","0","13","8","9","1","17","0","1","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","8","24","0","32","0","0","0","0","24","43","2","67","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000174","대전고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","1","0","1","9","5","0","14","26","26","7","52","0","3","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","8","7","0","15","0","0","0","0","45","44","8","89","0","0","0","8"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000176","대전도시과학고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","11","6","0","17","17","15","4","32","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","4","9","0","13","2","1","0","3","36","33","4","69","0","0","0","4"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000177","대전과학고등학교","04","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","12","4","0","16","19","16","1","35","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","2","0","2","1","2","0","3","1","4","0","5","33","33","1","66","0","0","0","1"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000178","대전관저고등학교","04","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","8","6","0","14","20","16","6","36","0","1","0","1","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","2","6","0","8","0","1","0","1","31","34","6","65","0","0","0","6"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000180","대전노은고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","6","8","0","14","18","12","1","30","1","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","2","0","2","0","7","0","7","0","0","0","0","26","32","3","58","0","0","0","3"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000181","대전대신고등학교","04","사립","N","","0","1","0","1","1","0","0","1","0","0","0","0","8","1","0","9","30","7","2","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","14","0","0","0","0","46","16","2","62","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000182","대전동산고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","12","1","0","13","25","9","1","34","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","6","0","17","0","0","0","0","51","16","1","67","0","0","0","1"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000183","동아마이스터고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","15","3","0","18","26","7","1","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","11","11","0","22","0","0","0","0","54","23","1","77","0","0","0","1"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000184","대전둔산여자고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","6","8","0","14","10","44","7","54","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","2","5","6","0","11","0","0","0","0","22","64","7","86","0","0","0","7"
