"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000164","대전생활과학고등학교","04","사립","N","","9","162","18","9","155","17.2","9","146","16.2","0","0","0","0","0","0","27","463","17.1","53","8.7"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000165","계룡디지텍고등학교","04","사립","N","","9","158","17.6","9","82","9.1","9","99","11","0","0","0","0","0","0","27","339","12.6","51","6.6"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000166","남대전고등학교","04","사립","N","","10","170","17","10","217","21.7","10","238","23.8","0","0","0","0","0","0","30","625","20.8","54","11.6"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000167","대덕고등학교","04","공립","N","","10","165","16.5","10","188","18.8","11","196","17.8","0","0","0","0","0","0","31","549","17.7","58","9.5"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000170","대덕소프트웨어마이스터고등학교","04","공립","N","","4","64","16","4","60","15","4","57","14.3","0","0","0","0","0","0","12","181","15.1","31","5.8"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000171","대전대성고등학교","04","사립","N","","10","353","35.3","10","338","33.8","10","317","31.7","1","4","4","0","0","0","31","1012","32.6","58","17.4"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000173","대전대성여자고등학교","04","사립","N","","11","197","17.9","11","194","17.6","11","183","16.6","1","7","7","0","0","0","34","581","17.1","61","9.5"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000174","대전고등학교","04","공립","N","","12","317","26.4","12","304","25.3","12","298","24.8","2","16","8","0","0","0","38","935","24.6","71","13.2"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000176","대전도시과학고등학교","04","공립","N","","8","114","14.3","10","67","6.7","11","90","8.2","0","0","0","0","0","0","29","271","9.3","59","4.6"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000177","대전과학고등학교","04","공립","N","","6","96","16","6","92","15.3","6","96","16","0","0","0","0","0","0","18","284","15.8","55","5.2"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000178","대전관저고등학교","04","공립","N","","9","219","24.3","9","229","25.4","9","254","28.2","1","8","8","0","0","0","28","710","25.4","52","13.7"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000180","대전노은고등학교","04","공립","N","","8","214","26.8","8","208","26","8","206","25.8","1","5","5","0","0","0","25","633","25.3","47","13.5"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000181","대전대신고등학교","04","사립","N","","10","353","35.3","10","349","34.9","10","337","33.7","0","0","0","0","0","0","30","1039","34.6","56","18.6"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000182","대전동산고등학교","04","사립","N","","11","207","18.8","11","244","22.2","11","268","24.4","1","2","2","0","0","0","34","721","21.2","61","11.8"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000183","동아마이스터고등학교","04","사립","N","","10","160","16","10","155","15.5","10","156","15.6","0","0","0","0","0","0","30","471","15.7","71","6.6"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000184","대전둔산여자고등학교","04","공립","N","","12","204","17","12","255","21.3","14","278","19.9","1","6","6","0","0","0","39","743","19.1","70","10.6"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000185","대전둔원고등학교","04","공립","N","","10","222","22.2","10","248","24.8","10","263","26.3","1","7","7","0","0","0","31","740","23.9","58","12.8"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000186","대전만년고등학교","04","공립","N","","9","192","21.3","9","218","24.2","10","247","24.7","1","4","4","0","0","0","29","661","22.8","54","12.2"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000187","대전제일고등학교","04","사립","N","","8","153","19.1","8","180","22.5","8","204","25.5","0","0","0","0","0","0","24","537","22.4","45","11.9"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000191","대전성모여자고등학교","04","사립","N","","8","153","19.1","8","166","20.8","8","185","23.1","0","0","0","0","0","0","24","504","21","47","10.7"
