"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분","폐교여부","폐교일자","휴교여부"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000164","대전생활과학고등학교","04","사립","특성화고등학교","N","단설","주간","19911218","19911218","3023010100","대전광역시 대덕구 오정동","225-7.","306819","34432","대전광역시 대덕구 동산초교로63번길 12","(오정동)","36.3499086587","127.4230518085","042-629-1300","042-636-3607","http://djpshs.djsch.kr","남녀공학","N","","N"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000165","계룡디지텍고등학교","04","사립","특성화고등학교","N","단설","주간","19491015","19491015","3011011800","대전광역시 동구 삼성동","104.","300812","34613","대전광역시 동구 소랑길 64","(삼성동)","36.3363062298","127.4336398509","042-630-6000","042-627-5328","http://krdhs.djsch.kr","남","N","","N"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000166","남대전고등학교","04","사립","일반고등학교","N","단설","주간","19740308","19730620","3014011100","대전광역시 중구 부사동","451.","301846","35051","대전광역시 중구 보문로111번길 63","(대사동, 남대전고등학교)","36.3107301152","127.4278328465","042-253-7111","042-222-1557","http://ndjhs.djsch.kr/","남","N","","N"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000167","대덕고등학교","04","공립","일반고등학교","N","단설","주간","19810311","19801126","3020012700","대전광역시 유성구 도룡동","384번지.","305340","34121","대전광역시 유성구 대덕대로556번길 158","(도룡동, 대덕고등학교)","36.3874153717","127.3813027762","042-860-0300","042-861-1413","http://daedeokhs.djsch.kr/","남녀공학","N","","N"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000170","대덕소프트웨어마이스터고등학교","04","공립","특수목적고등학교","N","단설","주간","19910914","19910914","3020012800","대전광역시 유성구 장동","23-9.","305343","34111","대전광역시 유성구 가정북로 76","(장동, 대덕소프트웨어마이스터고등학교)","36.3915518381","127.3633463384","042-866-8822","042-867-9900","http://dsmhs.djsch.kr","남녀공학","N","","N"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000171","대전대성고등학교","04","사립","자율고등학교","N","단설","주간","19550427","19550427","3014010300","대전광역시 중구 목동","96번지.","301070","34825","대전광역시 중구 목동로 23","(목동)","36.3328472881","127.4070569301","042-250-3888","042-250-3899","http://daeseong.hs.kr/","남","N","","N"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000173","대전대성여자고등학교","04","사립","특성화고등학교","N","단설","주간","19641205","19641205","3011011400","대전 동구 가양동","309.","300804","34601","대전광역시 동구 대성2길 20","(가양동)","36.3377067707","127.4400188506","042-670-2000","042-632-0551","http://dsghs.djsch.kr","녀","N","","N"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000174","대전고등학교","04","공립","자율고등학교","N","단설","주간","19170401","19170401","3014010500","대전광역시 중구 대흥동","대흥로 110호.","301805","34932","대전광역시 중구 대흥로 110","(대흥동, 대전고등학교)","36.322371841","127.4242081108","042-220-6100","042-220-6130","djhs.djsch.kr","남","N","","N"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000176","대전도시과학고등학교","04","공립","특성화고등학교","N","단설","주간","19940113","19940113","3020010100","대전광역시 유성구 원내동","38번지 관문 1길.","305809","34231","대전광역시 유성구 진잠로42번길 35","(원내동, 대전도시과학고등학교)","36.2973101645","127.319234743","042-540-2100","042-543-2387","https://dushs.djsch.kr","남녀공학","N","","N"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000177","대전과학고등학교","04","공립","특수목적고등학교","N","단설","주간","19831121","19831121","3020012400","대전광역시 유성구 구성동","19-2.","305338","34142","대전광역시 유성구 과학로 46","(구성동, 과학고등학교)","36.3742299579","127.3708346029","042-860-0207","042-863-5488","http://djshs.djsch.kr","남녀공학","N","","N"
