시도교육청코드,시도교육청명,행정표준코드,학교명,영문학교명,학교종류명,시도명,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명,산업체특별학급존재여부,고등학교일반전문구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,수정일자
G10,대전광역시교육청,7451009,가수원중학교,Gasuwon Middle School,중학교,대전광역시,대전광역시서부교육지원청,공립,35389 ,대전광역시 서구 가수원로 26,(가수원동),042-541-0145,http://gswms.djsch.kr,남여공학,042-541-6623,,N,일반계,,전기,주간,19880301,19880305,20260423
G10,대전광역시교육청,7451010,갈마중학교,Galma Middle School,중학교,대전광역시,대전광역시서부교육지원청,공립,35277 ,대전광역시 서구 계룡로326번길 138,"(갈마동,갈마중학교)",042-714-2225,http://galmams.djsch.kr/,남여공학,042-714-2220,,N,일반계,,전기,주간,19811211,19811211,20260423
G10,대전광역시교육청,7451011,기성중학교,Giseong Middle School,중학교,대전광역시,대전광역시서부교육지원청,공립,35426 ,대전광역시 서구 장안로 54,",(흑석동)",042-610-0200,http://giseong21ms.djsch.kr,남여공학,042-585-5305,,N,일반계,,전기,주간,19680328,19680328,20260423
G10,대전광역시교육청,7451012,대덕중학교,Daedeok Middle School,중학교,대전광역시,대전광역시서부교육지원청,공립,34131 ,대전광역시 유성구 대덕대로 515,(가정동),042-860-8907,http://daedeokms.djsch.kr,남여공학,042-862-3632,,N,일반계,,전기,주간,19810311,19810311,20260423
G10,대전광역시교육청,7441012,대전가양중학교,Daejeon Gayang Middle School,중학교,대전광역시,대전광역시동부교육지원청,공립,34531 ,대전광역시 동구 비래서로62번길 100,"(가양동, 대전가양중학교)",042-620-1500,http://gyms.djsch.kr,남여공학,042-626-3397,,N,일반계,,전기,주간,19821125,19821125,20260423
G10,대전광역시교육청,7441013,대전가오중학교,Daejeon Gao Middle School,중학교,대전광역시,대전광역시동부교육지원청,공립,34680 ,대전광역시 동구 은어송로 79,"(가오동, 대전가오중학교)",042-282-0425,http://gaoms.djsch.kr,남여공학,042-285-0085,,N,일반계,,전기,주간,19850305,19850305,20260423
G10,대전광역시교육청,7451013,대전갑천중학교,Daejeon Gapcheon Middle School,중학교,대전광역시,대전광역시서부교육지원청,공립,35216 ,대전광역시 서구 월평동로 80,"(월평동, 갑천중학교)",042-488-8600,http://gapcheonms.djsch.kr,남여공학,042-485-1999,,N,일반계,,전기,주간,19940305,19940305,20260423
G10,대전광역시교육청,7441266,대전경덕중학교,Daejeon Gyeongdeok Middle School,중학교,대전광역시,대전광역시동부교육지원청,사립,34432 ,대전광역시 대덕구 동산초교로63번길 12,(오정동),042-632-7823,http://gdms.djsch.kr,남여공학,042-621-7827,,N,일반계,,전기,주간,19650202,19650523,20260423
G10,대전광역시교육청,7451014,대전관저중학교,Daejeon Gwanjeo Middle School,중학교,대전광역시,대전광역시서부교육지원청,공립,35359 ,대전광역시 서구 관저동로 143,"(관저동, 관저중학교)",042-540-5881,http://gjms.djsch.kr,남여공학,042-545-4769,,N,일반계,,전기,주간,19980301,19981002,20260423
G10,대전광역시교육청,7451015,대전관평중학교,Daejeon Gwanpyeong middle school,중학교,대전광역시,대전광역시서부교육지원청,공립,34021 ,대전광역시 유성구 테크노4로 132,", 대전 관평중학교 (관평동,관평중학교)",042-671-0811,http://gpms.djsch.kr,남여공학,042-671-0820,,N,,,전기,주간,20071217,20080504,20260423
G10,대전광역시교육청,7451016,대전괴정중학교,DAEJEON GOEJEONG MIDDLE SCHOOL,중학교,대전광역시,대전광역시서부교육지원청,공립,35291 ,대전광역시 서구 가장로 15,"(괴정동,대전괴정중학교)",042-530-1700,http://goejeong35ms.djsch.kr/,남여공학,042-530-1731,,N,해당없음,,전기,주간,20060301,20060301,20260423
G10,대전광역시교육청,7451017,대전구봉중학교,Daejeon Gubong Middle School,중학교,대전광역시,대전광역시서부교육지원청,공립,35372 ,대전광역시 서구 관저서로 86,"(관저동, 대전구봉중학교)",042-540-7500,http://gubongms.djsch.kr,남여공학,042-544-7558,,N,해당없음,,후기,주간,20060301,20060605,20260423
G10,대전광역시교육청,7441014,대전글꽃중학교,Daejeon Geulkkot Middle School,중학교,대전광역시,대전광역시동부교육지원청,공립,34957 ,대전광역시 중구 계룡로918번길 103,"(문화동, 대전글꽃중학교)",042-250-0347,http://gkms.djsch.kr,남여공학,042-250-0319,,N,해당없음,,전기,주간,20070301,20070301,20260423
G10,대전광역시교육청,7451018,대전남선중학교,Daejeon Namseon Middle School,중학교,대전광역시,대전광역시서부교육지원청,공립,35211 ,대전광역시 서구 월평북로 41,"(월평동, 남선중학교)",042-484-6212,http://namseonms.djsch.kr,남여공학,042-484-6215,,N,일반계,,전기,주간,19920105,19940305,20260423
G10,대전광역시교육청,7451019,대전내동중학교,Daejeon Naedong Middle School,중학교,대전광역시,대전광역시서부교육지원청,공립,35343 ,대전광역시 서구 배재로 263,(변동),042-534-6154,http://djnaedongms.djsch.kr/,남여공학,042-522-2849,,N,일반계,,전기,주간,19920115,19920115,20260423
G10,대전광역시교육청,7451020,대전노은중학교,Daejeon Noeun Middle School,중학교,대전광역시,대전광역시서부교육지원청,공립,34084 ,대전광역시 유성구 노은동로 104,"(노은동, 노은중학교)",042-479-5554,http://noeunms.djsch.kr,남여공학,042-476-3158,,N,일반계,,전기,주간,20020301,20020605,20260423
G10,대전광역시교육청,7451021,대전느리울중학교,Daejeon Neuriul Middle School,중학교,대전광역시,대전광역시서부교육지원청,공립,35382 ,대전광역시 서구 관저중로64번길 84,(관저동),042-540-4500,http://djnrums.djsch.kr/,남여공학,042-544-0619,,N,해당없음,,후기,주간,20040301,20040301,20260423
