"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000245","대전경덕중학교","03","사립","N","","11","228","11","0","2000000","8","142","9","0","2000000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000247","대전대성여자중학교","03","사립","N","","20","190","21","0","800000","7","85","92","1","24000000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000248","대전대성중학교","03","사립","N","","24","446","24","0","0","1","12","1","0","1000000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000249","대전가양중학교","03","공립","N","","49","968","49","2","29200000","10","95","10","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000250","대전가오중학교","03","공립","N","","36","1060","36","0","7520000","6","67","6","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000251","대전대문중학교","03","공립","N","","21","281","21","0","1000000","2","16","2","1","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000252","대전대화중학교","03","공립","N","","31","480","32","0","3500000","4","37","4","0","2900000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000253","대전동산중학교","03","사립","N","","22","292","22","0","2000000","10","66","11","0","4600000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000254","우송중학교","03","사립","N","","20","197","20","0","0","0","0","0","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000255","대전매봉중학교","03","공립","N","","57","1494","57","0","29360000","7","99","7","0","2300000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000256","대전문화여자중학교","03","공립","N","","16","141","16","0","900000","6","79","6","0","100000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000257","대전법동중학교","03","공립","N","","33","315","33","1","0","3","34","3","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000258","대전송촌중학교","03","공립","N","","49","717","49","3","0","9","117","9","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000259","대전여자중학교","03","공립","N","","30","523","32","0","500000","10","140","10","0","400000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000260","오정중학교","03","공립","N","","13","97","13","0","0","4","27","4","1","900000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000261","대전용운중학교","03","공립","N","","24","407","24","0","1250000","4","47","4","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000262","대전용전중학교","03","공립","N","","25","311","25","0","1000000","6","77","6","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000263","중리중학교","03","공립","N","","25","142","25","0","4000000","1","7","1","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000265","대전중앙중학교","03","사립","N","","19","278","19","0","2160000","19","154","19","0","250000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000266","대전중학교","03","공립","N","","27","392","27","0","0","0","0","0","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000267","대전태평중학교","03","공립","N","","34","1020","34","0","30600000","4","53","4","0","1000000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000268","동대전중학교","03","공립","N","","15","171","15","0","0","1","16","1","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000269","동명중학교","03","사립","N","","19","106","19","8","6120000","0","0","0","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000270","동신중학교","03","공립","N","","16","111","16","0","0","0","0","0","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000271","보문중학교","03","사립","N","","20","244","20","0","0","9","134","9","0","3600000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000272","대전신일중학교","03","사립","N","","21","315","21","5","1240000","6","75","6","0","600000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000273","신탄중앙중학교","03","공립","N","","22","256","22","0","0","8","55","8","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000274","신탄진중학교","03","사립","N","","26","415","26","0","26600000","7","139","7","0","27400000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000275","청란여자중학교","03","사립","N","","9","46","9","3","500000","5","41","5","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000276","충남여자중학교","03","공립","N","","57","1005","58","4","4000000","4","87","4","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000277","충남중학교","03","공립","N","","72","1608","72","1","8900000","14","191","14","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000278","한밭여자중학교","03","공립","N","","24","374","24","1","16520000","10","123","10","0","840000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000279","한밭중학교","03","공립","N","","17","79","17","0","1700000","2","60","2","0","900000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000280","호수돈여자중학교","03","사립","N","","36","772","37","0","0","23","275","23","0","1500000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000281","회덕중학교","03","공립","N","","18","113","18","0","450000","5","57","5","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000447","가수원중학교","03","공립","N","","16","162","16","0","0","0","0","0","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000448","갈마중학교","03","공립","N","","20","65","20","0","0","0","0","0","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000449","기성중학교","03","공립","N","","7","56","7","0","1507000","7","37","7","0","680000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060000450","대덕중학교","03","공립","N","","28","532","28","2","0","16","129","16","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000451","대전갑천중학교","03","공립","N","","79","1791","79","0","2000000","33","269","33","0","1000000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000452","대전관저중학교","03","공립","N","","45","820","45","0","0","21","245","21","1","6600000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000453","대전남선중학교","03","공립","N","","23","374","23","0","900000","7","78","7","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000454","대전내동중학교","03","공립","N","","31","546","31","1","0","7","97","7","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060000455","대전노은중학교","03","공립","N","","46","803","46","4","0","5","51","6","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000456","대전대신중학교","03","사립","N","","26","828","26","0","6000000","8","71","8","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000457","대전도마중학교","03","공립","N","","21","170","19","2","1000000","0","0","0","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000458","대전둔산중학교","03","공립","N","","69","1369","45","24","800000","0","0","0","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000459","대전둔원중학교","03","공립","N","","28","527","28","0","0","10","112","10","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000460","대전만년중학교","03","공립","N","","38","532","38","0","0","1","5","1","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000461","대전문정중학교","03","공립","N","","100","1209","100","0","10900000","34","264","34","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060000462","대전문지중학교","03","공립","N","","18","200","18","0","950000","7","82","7","0","900000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000463","대전버드내중학교","03","공립","N","","49","879","50","0","1500000","14","202","14","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000464","대전변동중학교","03","공립","N","","18","280","18","0","800000","8","95","8","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000465","대전봉산중학교","03","공립","N","","15","174","15","0","0","10","107","10","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000466","대전봉우중학교","03","공립","N","","40","1470","63","26","0","8","95","8","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000468","대전삼육중학교","03","사립","N","","21","328","24","1","5780000","8","81","15","0","2528000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000469","대전삼천중학교","03","공립","N","","53","1072","53","0","0","55","497","55","0","0"
