"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분","폐교여부","폐교일자","휴교여부"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000245","대전경덕중학교","03","사립","","N","병설","주간","19650523","19650202","3023010100","대전광역시 대덕구 오정동","225-7.","306819","34432","대전광역시 대덕구 동산초교로63번길 12","(오정동)","36.3495756197","127.4224306104","042-632-7823","042-621-7827","http://gdms.djsch.kr","남녀공학","N","","N"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000247","대전대성여자중학교","03","사립","","N","단설","주간","19630427","19621231","3011011400","대전광역시 동구 가양동","309-7.","300804","34601","대전광역시 동구 대성2길 20","(가양동)","36.3368600431","127.4416269289","042-670-3001","042-672-3730","http://dsgms.djsch.kr/main.do","녀","N","","N"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000248","대전대성중학교","03","사립","","N","단설","주간","19550427","19550427","3014010300","대전광역시 중구 목동","95-1.","301080","34825","대전광역시 중구 목동로 23","(목동)","36.3319870419","127.4072106106","042-250-6000","042-254-2604","http://dsmms.djsch.kr","남","N","","N"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000249","대전가양중학교","03","공립","","N","단설","주간","19821125","19821125","3011011400","대전광역시 동구 가양2동","36-2.","300801","34531","대전광역시 동구 비래서로62번길 100","(가양동, 대전가양중학교)","36.3508533477","127.4486753796","042-620-1500","042-626-3397","http://gyms.djsch.kr","남녀공학","N","","N"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000250","대전가오중학교","03","공립","","N","단설","주간","19850305","19850305","3011010500","대전광역시 동구 가오동","171-6.","300050","34680","대전광역시 동구 은어송로 79","(가오동, 대전가오중학교)","36.3086174168","127.4571403638","042-282-0425","042-285-0085","http://gaoms.djsch.kr","남녀공학","N","","N"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000251","대전대문중학교","03","공립","","N","단설","주간","19950304","19950304","3014011600","대전광역시 중구 문화2동","760.","301814","35008","대전광역시 중구 송리로 33","(문화동, 대전대문중학교)","36.30800495","127.40078831","042-583-2596","042-583-2597","http://daemunms.djsch.kr","남녀공학","N","","N"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000252","대전대화중학교","03","공립","","N","단설","주간","19930304","19920508","3023010100","대전광역시 대덕구 오정동","16.","306817","34379","대전광역시 대덕구 대오길 9","(오정동, 대화중학교)","36.361613375","127.4147453268","042-634-4623","042-633-6451","http://daehwams.djsch.kr","남녀공학","N","","N"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060000253","대전동산중학교","03","사립","","N","단설","주간","19661119","19661119","3014011600","대전광역시 중구 문화1동","361.","301131","34960","대전광역시 중구 문화로 183","(문화동)","36.3152931964","127.4041484035","042-587-2702","042-587-2710","http://djdongsanms.djsch.kr","남","N","","N"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060000254","우송중학교","03","사립","","N","단설","주간","19540417","19540417","3011011100","대전광역시 동구 자양동","정보길 39 (226-2).","300829","34609","대전광역시 동구 동대전로131번길 53","(자양동, 우송고등학교,우송중학교)","36.3353277125","127.4431776249","042-620-5050","042-623-0071","http://woosongms.djsch.kr","남","N","","N"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060000255","대전매봉중학교","03","공립","","N","단설","주간","19990304","19990304","3023010700","대전광역시 대덕구 송촌동","441.","306813","34399","대전광역시 대덕구 선비마을로 165","(송촌동,대전매봉중학교)","36.3692874077","127.4361004436","042-620-0077","042-635-2475","http://maebongms.djsch.kr","남녀공학","N","","N"
